0.001 0.801333 1.99853 
0.002 0.802665 1.99706 
0.003 0.803996 1.99559 
0.004 0.805326 1.99411 
0.005 0.806655 1.99262 
0.006 0.807983 1.99114 
0.007 0.80931 1.98965 
0.008 0.810636 1.98816 
0.009 0.811961 1.98666 
0.01 0.813285 1.98516 
0.011 0.814608 1.98366 
0.012 0.81593 1.98215 
0.013 0.817251 1.98064 
0.014 0.818572 1.97912 
0.015 0.819891 1.9776 
0.016 0.821209 1.97608 
0.017 0.822526 1.97456 
0.018 0.823842 1.97303 
0.019 0.825157 1.9715 
0.02 0.826471 1.96996 
0.021 0.827783 1.96842 
0.022 0.829095 1.96688 
0.023 0.830406 1.96533 
0.024 0.831716 1.96378 
0.025 0.833025 1.96222 
0.026 0.834333 1.96067 
0.027 0.835639 1.95911 
0.028 0.836945 1.95754 
0.029 0.83825 1.95597 
0.03 0.839553 1.9544 
0.031 0.840856 1.95282 
0.032 0.842157 1.95124 
0.033 0.843458 1.94966 
0.034 0.844757 1.94807 
0.035 0.846055 1.94648 
0.036 0.847353 1.94489 
0.037 0.848649 1.94329 
0.038 0.849944 1.94169 
0.039 0.851238 1.94008 
0.04 0.852531 1.93847 
0.041 0.853823 1.93686 
0.042 0.855114 1.93524 
0.043 0.856404 1.93362 
0.044 0.857692 1.932 
0.045 0.85898 1.93037 
0.046 0.860266 1.92874 
0.047 0.861552 1.9271 
0.048 0.862836 1.92546 
0.049 0.864119 1.92382 
0.05 0.865402 1.92218 
0.051 0.866683 1.92053 
0.052 0.867962 1.91887 
0.053 0.869241 1.91721 
0.054 0.870519 1.91555 
0.055 0.871796 1.91389 
0.056 0.873071 1.91222 
0.057 0.874346 1.91055 
0.058 0.875619 1.90887 
0.059 0.876891 1.90719 
0.06 0.878162 1.90551 
0.061 0.879432 1.90382 
0.062 0.880701 1.90213 
0.0629999 0.881968 1.90043 
0.064 0.883235 1.89874 
0.065 0.8845 1.89703 
0.066 0.885765 1.89533 
0.067 0.887028 1.89362 
0.068 0.88829 1.8919 
0.069 0.889551 1.89019 
0.07 0.89081 1.88847 
0.071 0.892069 1.88674 
0.072 0.893326 1.88501 
0.073 0.894583 1.88328 
0.074 0.895838 1.88154 
0.075 0.897092 1.8798 
0.076 0.898344 1.87806 
0.077 0.899596 1.87631 
0.078 0.900846 1.87456 
0.079 0.902096 1.8728 
0.08 0.903344 1.87105 
0.081 0.904591 1.86928 
0.082 0.905836 1.86752 
0.083 0.907081 1.86575 
0.084 0.908324 1.86397 
0.085 0.909567 1.86219 
0.086 0.910808 1.86041 
0.087 0.912047 1.85863 
0.088 0.913286 1.85684 
0.089 0.914523 1.85504 
0.09 0.91576 1.85325 
0.091 0.916995 1.85144 
0.092 0.918229 1.84964 
0.093 0.919461 1.84783 
0.094 0.920693 1.84602 
0.095 0.921923 1.8442 
0.096 0.923152 1.84238 
0.097 0.92438 1.84056 
0.098 0.925606 1.83873 
0.099 0.926832 1.8369 
0.1 0.928056 1.83506 
0.101 0.929279 1.83322 
0.102 0.9305 1.83138 
0.103 0.931721 1.82953 
0.104 0.93294 1.82768 
0.105 0.934158 1.82583 
0.106 0.935375 1.82397 
0.107 0.93659 1.82211 
0.108 0.937805 1.82024 
0.109 0.939018 1.81837 
0.11 0.940229 1.81649 
0.111 0.94144 1.81462 
0.112 0.942649 1.81273 
0.113 0.943857 1.81085 
0.114 0.945064 1.80896 
0.115 0.946269 1.80706 
0.116 0.947474 1.80517 
0.117 0.948677 1.80327 
0.118 0.949878 1.80136 
0.119 0.951079 1.79945 
0.12 0.952278 1.79754 
0.121 0.953476 1.79562 
0.122 0.954672 1.7937 
0.123 0.955868 1.79178 
0.124 0.957062 1.78985 
0.125 0.958255 1.78791 
0.126 0.959446 1.78598 
0.127 0.960636 1.78404 
0.128 0.961825 1.78209 
0.129 0.963013 1.78014 
0.13 0.964199 1.77819 
0.131 0.965384 1.77624 
0.132 0.966568 1.77428 
0.133 0.96775 1.77231 
0.134 0.968931 1.77034 
0.135 0.970111 1.76837 
